,0
1643,16882
1644,16890
1645,16891
1646,16898
1647,16902
1648,16903
1649,16907
1650,16912
1651,16914
1652,16919
1653,16935
1654,16941
1655,16950
1656,16960
1657,16962
1658,16973
1659,16979
1660,16996
1661,16997
1662,17002
1663,17005
1664,17024
1665,17036
1666,17051
1667,17063
1668,17064
1669,17081
1670,17088
1671,17089
1672,17104
1673,17108
1674,17125
1675,17126
1676,17127
1677,17139
1678,17144
1679,17173
1680,17185
1681,17186
1682,17189
1683,17205
1684,17210
1685,17212
1686,17215
1687,17219
1688,17233
1689,17237
1690,17262
1691,17266
1692,17287
1693,17291
1694,17294
1695,17301
1696,17304
1697,17306
1698,17308
1699,17310
1700,17313
1701,17324
1702,17340
1703,17349
1704,17354
1705,17356
1706,17362
1707,17381
1708,17408
1709,17410
1710,17414
1711,17417
1712,17419
1713,17421
1714,17425
1715,17427
1716,17428
1717,17433
1718,17434
1719,17451
1720,17464
1721,17465
1722,17474
1723,17488
1724,17499
1725,17502
1726,17504
1727,17526
1728,17528
1729,17529
1730,17537
1731,17538
1732,17543
1733,17545
1734,17548
1735,17551
1736,17560
1737,17573
1738,17577
1739,17597
1740,17609
1741,17640
1742,17644
1743,17648
1744,17654
1745,17663
1746,17687
1747,17697
1748,17712
1749,17719
1750,17725
1751,17736
1752,17762
1753,17770
1754,17778
1755,17788
1756,17808
1757,17809
1758,17827
1759,17855
1760,17857
1761,17862
1762,17865
1763,17868
1764,17908
1765,17934
1766,17954
1767,17964
1768,17975
1769,17976
1770,17990
1771,18002
1772,18012
1773,18018
1774,18026
1775,18027
1776,18030
1777,18039
1778,18040
1779,18061
1780,18071
1781,18085
1782,18122
1783,18133
1784,18142
1785,18144
1786,18156
1787,18162
1788,18163
1789,18164
1790,18168
1791,18171
1792,18172
1793,18196
1794,18202
1795,18206
1796,18207
1797,18224
1798,18227
1799,18232
1800,18267
1801,18268
1802,18271
1803,18313
1804,18315
1805,18327
1806,18329
1807,18351
1808,18376
1809,18380
1810,18381
1811,18388
1812,18400
1813,18405
1814,18406
1815,18409
1816,18417
1817,18449
1818,18456
1819,18468
1820,18471
1821,18487
1822,18517
1823,18541
1824,18544
1825,18548
1826,18563
1827,18579
1828,18601
1829,18611
1830,18624
1831,18626
1832,18630
1833,18641
1834,18644
1835,18647
1836,18650
1837,18669
1838,18682
1839,18687
1840,18694
1841,18706
1842,18711
1843,18729
1844,18751
1845,18753
1846,18799
1847,18817
1848,18833
1849,18856
1850,18859
1851,18871
1852,18888
1853,18899
1854,18900
1855,18902
1856,18914
1857,18917
1858,18923
1859,18930
1860,18941
1861,18954
1862,18963
1863,18969
1864,18983
1865,19002
1866,19019
1867,19040
1868,19041
1869,19044
1870,19060
1871,19064
1872,19071
1873,19076
1874,19079
1875,19084
1876,19087
1877,19088
1878,19101
1879,19103
1880,19104
1881,19115
1882,19116
1883,19120
1884,19142
1885,19146
1886,19150
1887,19157
1888,19159
1889,19165
1890,19172
1891,19184
1892,19188
1893,19193
1894,19201
1895,19205
1896,19225
1897,19234
1898,19252
1899,19263
1900,19273
1901,19288
1902,19339
1903,19342
1904,19365
1905,19370
1906,19372
1907,19378
1908,19381
1909,19382
1910,19385
1911,19392
1912,19398
